月,ページ,クリック,表示回数,CTR,掲載順位
2026-09,https://sixten.jp/journal/034-derozan-nuggets.html,0,1,0,26
2026-09,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,14,0,8.6
2026-09,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,9,0,5.7
2026-09,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,0,3,0,12
2026-09,https://sixten.jp/journal/039-sharpe-injury.html,0,1,0,9
2026-09,https://sixten.jp/journal/040-williams-warriors.html,0,1,0,1
2026-09,https://sixten.jp/journal/041-niang-warriors.html,0,1,0,1
2026-09,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,4,0,5.2
2026-09,https://sixten.jp/journal/046-mathurin-pelicans.html,0,1,0,9
2026-09,https://sixten.jp/journal/047-kuminga-timberwolves.html,0,2,0,4
2026-09,https://sixten.jp/journal/048-fujita-japan-coach.html,0,3,0,23.3
2026-09,https://sixten.jp/journal/049-yoshii-japan-roster.html,0,2,0,4.5
2026-09,https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,1,0,4
2026-09,https://sixten.jp/journal/054-crane-thunders-afterschool.html,0,1,0,89
2026-09,https://sixten.jp/journal/055-rimtown-basketball-school.html,0,2,0,8
2026-09,https://sixten.jp/journal/056-josh-green-jazz-trade.html,0,3,0,7.7
2026-09,https://sixten.jp/journal/060-his-bleague-partnership.html,0,7,0,12.9
