date,page,clicks,impressions,position
2026-08-27,https://sixten.jp/journal/041-niang-warriors.html,0,1,1
2026-08-27,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,3,6
2026-08-27,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,3,5
2026-08-27,https://sixten.jp/journal/046-mathurin-pelicans.html,0,4,7.8
2026-08-27,https://sixten.jp/journal/047-kuminga-timberwolves.html,0,1,5
2026-08-27,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,1,6,4.2
2026-08-27,https://sixten.jp/media/chris-basketball-diary.html,0,2,15
2026-08-28,https://sixten.jp/journal/,0,1,10
2026-08-28,https://sixten.jp/journal/023-watford-pelicans.html,0,1,11
2026-08-28,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,1,11
2026-08-28,https://sixten.jp/journal/028-harden-cavaliers.html,0,1,9
2026-08-28,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,1,11
2026-08-28,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,2,6
2026-08-28,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,0,1,5
2026-08-28,https://sixten.jp/journal/040-williams-warriors.html,0,6,1.7
2026-08-28,https://sixten.jp/journal/041-niang-warriors.html,0,4,9.5
2026-08-28,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,8,8.9
2026-08-28,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,1,6,7.3
2026-08-28,https://sixten.jp/journal/046-mathurin-pelicans.html,0,1,8
2026-08-28,https://sixten.jp/journal/048-fujita-japan-coach.html,0,2,9
2026-08-28,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,0,2,4
2026-08-28,https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,1,4
2026-08-28,https://sixten.jp/journal/052-lowry-raptors-retired-number.html,0,4,8
2026-08-28,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,5,7.6
2026-08-28,https://sixten.jp/media/chris-basketball-diary.html,1,1,2
2026-08-29,https://sixten.jp/journal/023-watford-pelicans.html,0,1,10
2026-08-29,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,1,8
2026-08-29,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,1,5
2026-08-29,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,1,1,16
2026-08-29,https://sixten.jp/journal/039-sharpe-injury.html,0,1,8
2026-08-29,https://sixten.jp/journal/040-williams-warriors.html,0,3,5.7
2026-08-29,https://sixten.jp/journal/041-niang-warriors.html,0,3,8
2026-08-29,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,5,8.4
2026-08-29,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,2,4.5
2026-08-29,https://sixten.jp/journal/046-mathurin-pelicans.html,0,1,9
2026-08-29,https://sixten.jp/journal/052-lowry-raptors-retired-number.html,0,1,9
2026-08-29,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,2,6
2026-08-29,https://sixten.jp/media/chris-basketball-diary.html,0,1,46
2026-08-30,https://sixten.jp/journal/041-niang-warriors.html,0,2,12
2026-08-30,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,2,4.5
2026-08-30,https://sixten.jp/journal/046-mathurin-pelicans.html,0,2,7
2026-08-30,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,0,5,6.4
2026-08-30,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,1,9
2026-08-31,https://sixten.jp/journal/,0,1,7
2026-08-31,https://sixten.jp/journal/021-westbrook-retires.html,0,2,31.5
2026-08-31,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,1,22
2026-08-31,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,2,4
2026-08-31,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,1,5
2026-08-31,https://sixten.jp/journal/049-yoshii-japan-roster.html,0,1,3
2026-08-31,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,0,2,6.5
2026-08-31,https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,3,6.7
2026-08-31,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,7,8.9
2026-09-01,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,2,9
2026-09-01,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,3,6.7
2026-09-01,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,0,1,7
2026-09-01,https://sixten.jp/journal/040-williams-warriors.html,0,1,1
2026-09-01,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,1,7
2026-09-01,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,1,3,3.3
2026-09-01,https://sixten.jp/journal/046-mathurin-pelicans.html,0,1,9
2026-09-01,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,0,2,8
2026-09-01,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,8,6.6
2026-09-01,https://sixten.jp/journal/056-josh-green-jazz-trade.html,0,1,7
2026-09-01,https://sixten.jp/journal/057-converse-2faced.html,0,7,13
2026-09-01,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,0,1,4
2026-09-01,https://sixten.jp/media/chris-basketball-diary.html,0,1,7
2026-09-02,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,1,8
2026-09-02,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,1,4
2026-09-02,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,0,1,21
2026-09-02,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,1,10
2026-09-02,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,1,1,6
2026-09-02,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,3,7.7
2026-09-02,https://sixten.jp/journal/057-converse-2faced.html,0,7,10.4
2026-09-02,https://sixten.jp/journal/060-his-bleague-partnership.html,0,1,20
2026-09-02,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,0,1,4
2026-09-02,https://sixten.jp/journal/064-unext-bleague-streaming.html,1,3,9
2026-09-03,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,1,5
2026-09-03,https://sixten.jp/journal/039-sharpe-injury.html,0,1,9
2026-09-03,https://sixten.jp/journal/041-niang-warriors.html,0,1,1
2026-09-03,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,4,6.5
2026-09-03,https://sixten.jp/journal/057-converse-2faced.html,0,11,9.5
2026-09-03,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,1,4,3.5
2026-09-03,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,1,1,10
2026-09-03,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,3,9.7
2026-09-03,https://sixten.jp/journal/068-albirex-recruit-strategy-lab.html,0,2,18.5
2026-09-03,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,0,1,4
2026-09-03,https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,3,5.7
2026-09-03,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,1,10
2026-09-03,https://sixten.jp/media/chris-basketball-diary.html,0,1,30
2026-09-04,https://sixten.jp/,1,1,2
2026-09-04,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,8,8.5
2026-09-04,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,4,5.5
2026-09-04,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,1,7
2026-09-04,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,7,8.3
2026-09-04,https://sixten.jp/journal/056-josh-green-jazz-trade.html,0,1,7
2026-09-04,https://sixten.jp/journal/057-converse-2faced.html,1,6,14.3
2026-09-04,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,1,3,5.3
2026-09-04,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,2,25.5
2026-09-04,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,0,2,4
2026-09-04,https://sixten.jp/journal/071-westbrook-project-b.html,0,4,7.8
2026-09-04,https://sixten.jp/journal/073-mills-parker-asvel.html,1,1,4
2026-09-04,https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,8,7
2026-09-04,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,6,7.8
2026-09-04,https://sixten.jp/media/chris-basketball-diary.html,0,1,5
2026-09-05,https://sixten.jp/,1,3,1.7
2026-09-05,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,3,9
2026-09-05,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,3,9.7
2026-09-05,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,1,9
2026-09-05,https://sixten.jp/journal/057-converse-2faced.html,0,7,8.6
2026-09-05,https://sixten.jp/journal/060-his-bleague-partnership.html,0,3,5.7
2026-09-05,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,0,5,7.6
2026-09-05,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,0,2,19
2026-09-05,https://sixten.jp/journal/063-bambitious-basketball-day.html,0,2,23
2026-09-05,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,2,14
2026-09-05,https://sixten.jp/journal/067-tacko-fall-76ers-camp.html,0,1,4
2026-09-05,https://sixten.jp/journal/070-beril-yokohama-excellence.html,0,1,8
2026-09-05,https://sixten.jp/journal/071-westbrook-project-b.html,0,2,7.5
2026-09-05,https://sixten.jp/journal/073-mills-parker-asvel.html,0,1,1
2026-09-05,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,1,5
2026-09-05,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,1,2,3.5
2026-09-05,https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,1,8
2026-09-05,https://sixten.jp/journal/index.html?cat=KICKS,1,1,4
2026-09-05,https://sixten.jp/media/chris-basketball-diary.html,1,2,5
2026-09-06,https://sixten.jp/journal/014-oikos-gold-partner.html,0,1,32
2026-09-06,https://sixten.jp/journal/018-bs-summit-second-wave.html,0,1,3
2026-09-06,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,0,6,6.5
2026-09-06,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,1,5
2026-09-06,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,1,9
2026-09-06,https://sixten.jp/journal/048-fujita-japan-coach.html,0,1,17
2026-09-06,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,1,1,5
2026-09-06,https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,1,4
2026-09-06,https://sixten.jp/journal/054-crane-thunders-afterschool.html,0,1,89
2026-09-06,https://sixten.jp/journal/055-rimtown-basketball-school.html,0,1,10
2026-09-06,https://sixten.jp/journal/056-josh-green-jazz-trade.html,0,1,9
2026-09-06,https://sixten.jp/journal/057-converse-2faced.html,0,3,11
2026-09-06,https://sixten.jp/journal/060-his-bleague-partnership.html,0,2,21
2026-09-06,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,0,3,8
2026-09-06,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,1,11
2026-09-06,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,0,3,6
2026-09-06,https://sixten.jp/journal/070-beril-yokohama-excellence.html,0,1,5
2026-09-06,https://sixten.jp/journal/071-westbrook-project-b.html,0,1,9
2026-09-06,https://sixten.jp/journal/073-mills-parker-asvel.html,0,2,11
2026-09-06,https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,1,7
2026-09-06,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,1,8
2026-09-06,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,1,13,7.2
2026-09-06,https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,4,4.5
2026-09-06,https://sixten.jp/journal/082-nba-rivalries-2026-27.html,0,1,11
2026-09-07,https://sixten.jp/journal/,0,1,4
2026-09-07,https://sixten.jp/journal/005-small-guards.html,0,1,8
2026-09-07,https://sixten.jp/journal/006-streetball.html,0,4,9.2
2026-09-07,https://sixten.jp/journal/010-abema-saudi.html,0,2,7
2026-09-07,https://sixten.jp/journal/017-canon-mj-bs2026.html,0,1,10
2026-09-07,https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,1,10
2026-09-07,https://sixten.jp/journal/022-hachimura-clippers.html,0,1,5
2026-09-07,https://sixten.jp/journal/032-timberwolves-lynx-stad.html,0,1,6
2026-09-07,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,0,3,7
2026-09-07,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,0,1,8
2026-09-07,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,1,2
2026-09-07,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,2,7
2026-09-07,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,0,1,5
2026-09-07,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,1,7
2026-09-07,https://sixten.jp/journal/055-rimtown-basketball-school.html,0,1,6
2026-09-07,https://sixten.jp/journal/057-converse-2faced.html,1,14,12.4
2026-09-07,https://sixten.jp/journal/060-his-bleague-partnership.html,0,1,11
2026-09-07,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,0,6,6
2026-09-07,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,0,1,10
2026-09-07,https://sixten.jp/journal/063-bambitious-basketball-day.html,0,1,8
2026-09-07,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,1,9
2026-09-07,https://sixten.jp/journal/067-tacko-fall-76ers-camp.html,0,1,4
2026-09-07,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,0,4,8
2026-09-07,https://sixten.jp/journal/070-beril-yokohama-excellence.html,0,2,7.5
2026-09-07,https://sixten.jp/journal/071-westbrook-project-b.html,0,2,9
2026-09-07,https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,1,14
2026-09-07,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,1,7,9.3
2026-09-07,https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,29,5.2
2026-09-07,https://sixten.jp/journal/087-fc-barcelona-nike-kobe-3-protro.html,0,1,12
2026-09-07,https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,1,3
2026-09-07,https://sixten.jp/media/chris-basketball-diary.html,0,3,10.3
2026-09-08,https://sixten.jp/journal/006-streetball.html,0,1,10
2026-09-08,https://sixten.jp/journal/010-abema-saudi.html,0,1,6
2026-09-08,https://sixten.jp/journal/016-kobe-camp-storks.html,0,1,30
2026-09-08,https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,3,7
2026-09-08,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,0,5,8.2
2026-09-08,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,5,9.4
2026-09-08,https://sixten.jp/journal/049-yoshii-japan-roster.html,0,1,1
2026-09-08,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,1,5
2026-09-08,https://sixten.jp/journal/057-converse-2faced.html,0,3,12.7
2026-09-08,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,0,4,10.5
2026-09-08,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,0,1,11
2026-09-08,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,2,3.5
2026-09-08,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,0,2,7
2026-09-08,https://sixten.jp/journal/070-beril-yokohama-excellence.html,0,2,4
2026-09-08,https://sixten.jp/journal/071-westbrook-project-b.html,0,1,10
2026-09-08,https://sixten.jp/journal/073-mills-parker-asvel.html,0,2,5.5
2026-09-08,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,4,45.8
2026-09-08,https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,13,5
2026-09-08,https://sixten.jp/journal/082-nba-rivalries-2026-27.html,0,1,9
2026-09-08,https://sixten.jp/journal/087-fc-barcelona-nike-kobe-3-protro.html,0,2,7
2026-09-08,https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,13,2.8
2026-09-08,https://sixten.jp/journal/097-76ers-flyers-new-arena.html,1,3,2
2026-09-08,https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,2,4,5.8
2026-09-09,https://sixten.jp/journal/001-banned-aj1.html,0,2,8
2026-09-09,https://sixten.jp/journal/002-iverson.html,0,1,6
2026-09-09,https://sixten.jp/journal/005-small-guards.html,0,1,3
2026-09-09,https://sixten.jp/journal/006-streetball.html,0,3,9.7
2026-09-09,https://sixten.jp/journal/010-abema-saudi.html,0,2,2.5
2026-09-09,https://sixten.jp/journal/033-klay-thompson-heat.html,1,2,7.5
2026-09-09,https://sixten.jp/journal/034-derozan-nuggets.html,0,1,26
2026-09-09,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,1,5,7
2026-09-09,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,1,1,8
2026-09-09,https://sixten.jp/journal/048-fujita-japan-coach.html,0,1,5
2026-09-09,https://sixten.jp/journal/049-yoshii-japan-roster.html,0,1,8
2026-09-09,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,4,5.5
2026-09-09,https://sixten.jp/journal/057-converse-2faced.html,0,3,19.3
2026-09-09,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,0,1,8
2026-09-09,https://sixten.jp/journal/064-unext-bleague-streaming.html,0,4,31
2026-09-09,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,0,1,3
2026-09-09,https://sixten.jp/journal/073-mills-parker-asvel.html,1,2,5.5
2026-09-09,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,2,61
2026-09-09,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,0,4,8.2
2026-09-09,https://sixten.jp/journal/077-ben-simmons-kings.html,0,1,20
2026-09-09,https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,4,7
2026-09-09,https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,7,3.3
2026-09-09,https://sixten.jp/journal/094-kuas-kyoto-hannaryz.html,0,3,11.3
2026-09-09,https://sixten.jp/journal/095-bulls-2026-27-season-preview.html,0,3,6
2026-09-09,https://sixten.jp/journal/096-nba-injury-returns-2026-27.html,0,2,15.5
2026-09-09,https://sixten.jp/journal/097-76ers-flyers-new-arena.html,2,5,3.4
2026-09-09,https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,0,17,6.7
2026-09-09,https://sixten.jp/journal/104-wizards-nichols-vp-promotion.html,0,2,2
2026-09-09,https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,1,4,6.8
2026-09-09,https://sixten.jp/journal/109-tokyo-z-avantgardey.html,0,2,6
2026-09-09,https://sixten.jp/media/postup.html,0,2,25.5
2026-09-10,https://sixten.jp/,0,2,3.5
2026-09-10,https://sixten.jp/journal/001-banned-aj1.html,0,2,7.5
2026-09-10,https://sixten.jp/journal/006-streetball.html,0,1,9
2026-09-10,https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,2,9.5
2026-09-10,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,0,6,8.7
2026-09-10,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,1,9,7.1
2026-09-10,https://sixten.jp/journal/047-kuminga-timberwolves.html,0,2,4
2026-09-10,https://sixten.jp/journal/048-fujita-japan-coach.html,0,1,48
2026-09-10,https://sixten.jp/journal/053-yoneda-u18-tryout.html,1,5,6.8
2026-09-10,https://sixten.jp/journal/057-converse-2faced.html,0,5,9
2026-09-10,https://sixten.jp/journal/063-bambitious-basketball-day.html,0,1,8
2026-09-10,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,1,4,5
2026-09-10,https://sixten.jp/journal/070-beril-yokohama-excellence.html,0,1,10
2026-09-10,https://sixten.jp/journal/071-westbrook-project-b.html,0,1,9
2026-09-10,https://sixten.jp/journal/073-mills-parker-asvel.html,0,3,7.7
2026-09-10,https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,2,29.5
2026-09-10,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,1,2,6.5
2026-09-10,https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,7,4.3
2026-09-10,https://sixten.jp/journal/095-bulls-2026-27-season-preview.html,1,1,6
2026-09-10,https://sixten.jp/journal/096-nba-injury-returns-2026-27.html,1,1,4
2026-09-10,https://sixten.jp/journal/097-76ers-flyers-new-arena.html,0,4,2.5
2026-09-10,https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,0,7,6.1
2026-09-10,https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,1,4,10.2
2026-09-10,https://sixten.jp/journal/109-tokyo-z-avantgardey.html,0,1,10
2026-09-10,https://sixten.jp/journal/111-nba-2026-27-tier-preview.html,0,1,7
2026-09-10,https://sixten.jp/media/chris-basketball-diary.html,1,1,2
2026-09-10,https://sixten.jp/media/postup.html,0,1,4
2026-09-11,https://sixten.jp/journal/006-streetball.html,0,3,9.7
2026-09-11,https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,3,9
2026-09-11,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,1,19,6.1
2026-09-11,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,1,10
2026-09-11,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,0,1,10
2026-09-11,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,1,9
2026-09-11,https://sixten.jp/journal/057-converse-2faced.html,0,5,12.6
2026-09-11,https://sixten.jp/journal/070-beril-yokohama-excellence.html,0,1,4
2026-09-11,https://sixten.jp/journal/071-westbrook-project-b.html,0,2,8
2026-09-11,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,1,61
2026-09-11,https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,1,6
2026-09-11,https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,5,3.4
2026-09-11,https://sixten.jp/journal/090-air-jordan-12-idols-become-rivals.html,0,1,9
2026-09-11,https://sixten.jp/journal/092-revision-utsunomiya-brex.html,0,1,8
2026-09-11,https://sixten.jp/journal/093-lebron-23-white-team-red.html,0,2,5
2026-09-11,https://sixten.jp/journal/094-kuas-kyoto-hannaryz.html,1,1,4
2026-09-11,https://sixten.jp/journal/095-bulls-2026-27-season-preview.html,0,2,3.5
2026-09-11,https://sixten.jp/journal/097-76ers-flyers-new-arena.html,0,1,5
2026-09-11,https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,0,5,8.8
2026-09-11,https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,0,2,8.5
2026-09-11,https://sixten.jp/journal/106-air-jordan-7-tennis-day.html,0,1,10
2026-09-11,https://sixten.jp/journal/109-tokyo-z-avantgardey.html,0,3,4
2026-09-11,https://sixten.jp/journal/110-anta-kai-3-alchemist.html,0,1,7
2026-09-11,https://sixten.jp/journal/111-nba-2026-27-tier-preview.html,1,1,3
2026-09-11,https://sixten.jp/journal/112-cavaliers-2026-27-preview.html,0,2,3
2026-09-11,https://sixten.jp/journal/113-lakers-amsler-assistant-gm.html,0,1,4
2026-09-11,https://sixten.jp/journal/114-jordan-tatum-5.html,0,22,9.2
2026-09-11,https://sixten.jp/journal/121-jordan-tatum-5-sunrise.html,2,7,8.1
2026-09-11,https://sixten.jp/journal/124-ibaraki-robots-docomo.html,0,1,18
2026-09-12,https://sixten.jp/,0,1,2
2026-09-12,https://sixten.jp/journal/,0,4,2.5
2026-09-12,https://sixten.jp/journal/001-banned-aj1.html,0,1,10
2026-09-12,https://sixten.jp/journal/006-streetball.html,0,9,11
2026-09-12,https://sixten.jp/journal/013-bs-summit-3players.html,0,1,20
2026-09-12,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,0,34,6.5
2026-09-12,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,1,1
2026-09-12,https://sixten.jp/journal/057-converse-2faced.html,0,1,19
2026-09-12,https://sixten.jp/journal/063-bambitious-basketball-day.html,0,1,9
2026-09-12,https://sixten.jp/journal/071-westbrook-project-b.html,0,1,8
2026-09-12,https://sixten.jp/journal/073-mills-parker-asvel.html,0,1,28
2026-09-12,https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,1,4
2026-09-12,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,0,4,8.8
2026-09-12,https://sixten.jp/journal/078-gunma-crane-thunders-slogan.html,0,1,11
2026-09-12,https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,2,4
2026-09-12,https://sixten.jp/journal/097-76ers-flyers-new-arena.html,0,1,4
2026-09-12,https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,0,3,6.7
2026-09-12,https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,0,1,17
2026-09-12,https://sixten.jp/journal/106-air-jordan-7-tennis-day.html,0,1,9
2026-09-12,https://sixten.jp/journal/107-akaishi-iwbf-wheelchair-worlds.html,0,2,7.5
2026-09-12,https://sixten.jp/journal/109-tokyo-z-avantgardey.html,0,2,7.5
2026-09-12,https://sixten.jp/journal/114-jordan-tatum-5.html,0,2,16
2026-09-12,https://sixten.jp/journal/121-jordan-tatum-5-sunrise.html,0,4,9
2026-09-12,https://sixten.jp/journal/124-ibaraki-robots-docomo.html,0,1,11
